DA_ID,Median_Household_Income,latitude,longitude
35200306,75008,43.791257,-79.339361
35200307,58112,43.788140000000006,-79.338828
35200308,103936,43.785486999999996,-79.337523
35200309,68352,43.782235,-79.342141
35200310,61600,43.782692,-79.34398399999999
35200315,66304,43.791905,-79.352409
35200316,52096,43.790772,-79.35575
35200317,44757,43.791261,-79.357017
35200318,68096,43.789986999999996,-79.359273
35200319,73173,43.790479,-79.361879
35200320,39680,43.792159999999996,-79.360036
35200321,80064,43.794947,-79.364435
35200322,63232,43.791993,-79.364677
35200323,46208,43.79081,-79.36954899999999
35200324,87552,43.787397999999996,-79.369312
35200325,85504,43.787074,-79.36795500000001
35200326,103936,43.787756,-79.366835
35200327,81536,43.789390000000004,-79.36410500000001
35200328,105216,43.784594,-79.372809
35200329,116224,43.782928999999996,-79.374399
35200330,126464,43.783319,-79.38034300000001
35200331,120448,43.784129,-79.38479699999999
35200332,112896,43.78199,-79.3865
35200333,95488,43.779897,-79.389252
35200334,94848,43.778855,-79.39189300000001
35200335,113408,43.776837,-79.393955
35200336,96384,43.778702,-79.39783
35200337,80128,43.781031,-79.399128
35200338,90112,43.776790000000005,-79.401761
35200339,32192,43.777471000000006,-79.40394599999999
35200352,54656,43.760816,-79.41175600000001
35200355,121344,43.761491,-79.40006600000001
35200357,104192,43.767123,-79.398138
35200358,118528,43.769754999999996,-79.397809
35200359,85760,43.771688,-79.40063599999999
35200360,115328,43.773022999999995,-79.397384
35200361,99328,43.774938,-79.399517
35200362,129280,43.7739,-79.392391
35200363,96000,43.770444,-79.391628
35200364,60160,43.769824,-79.386054
35200366,59776,43.771584999999995,-79.380707
35200368,78592,43.767534000000005,-79.378214
35200370,172032,43.762813,-79.375938
35200371,201216,43.758758,-79.38262900000001
35200372,155136,43.754554,-79.382013
35200373,207360,43.757017,-79.387507
35200374,115200,43.750347999999995,-79.380589
35200375,112640,43.751151,-79.382199
35200376,258560,43.746691999999996,-79.37763100000001
35200377,146944,43.753372999999996,-79.37593299999999
35200378,180736,43.74943,-79.372949
35200379,182784,43.749113,-79.369352
35200380,166400,43.748822,-79.364215
35200381,80128,43.752159000000006,-79.36124000000001
35200382,64640,43.75394,-79.365026
35200383,81408,43.75515,-79.36228299999999
35200384,198144,43.756306,-79.36920699999999
35200385,162304,43.754025,-79.368187
35200386,281600,43.75904,-79.372508
35200387,167424,43.760484000000005,-79.36495699999999
35200388,116480,43.763301,-79.36832700000001
35200389,86400,43.765603000000006,-79.372662
35200391,119808,43.770928999999995,-79.373715
35200392,122624,43.773252,-79.371528
35200393,139904,43.777615000000004,-79.375661
35200394,138752,43.776601,-79.381005
35200395,121088,43.773219,-79.383845
35200396,116480,43.776357,-79.387691
35200397,34752,43.765081,-79.35305
35200400,124160,43.759702000000004,-79.345743
35200401,128000,43.759718,-79.342336
35200402,111872,43.760284999999996,-79.33841600000001
35200404,73728,43.763754,-79.34349
35200405,66560,43.767006,-79.333048
35200406,94976,43.765289,-79.333561
35200407,94976,43.763458,-79.331796
35200408,79616,43.765326,-79.328338
35200409,92416,43.762688,-79.32669399999999
35200410,59264,43.761588,-79.325793
35200411,51584,43.760874,-79.330951
35200412,49109,43.760162,-79.334774
35200413,52704,43.757866,-79.334846
35200414,74240,43.755738,-79.332561
35200415,106240,43.756116999999996,-79.329336
35200416,144384,43.753786,-79.325551
35200417,63104,43.756791,-79.321407
35200418,40491,43.759469,-79.319704
35200420,83200,43.761182,-79.319416
35200421,87552,43.756972,-79.31803199999999
35200422,73899,43.758484,-79.312698
35200423,50816,43.754639000000005,-79.316559
35200426,71765,43.753563,-79.312363
35200427,77056,43.752787,-79.309762
35200428,75264,43.750248,-79.31140699999999
35200429,44160,43.747937,-79.30999200000001
35200430,78592,43.746485,-79.307586
35200431,69376,43.749525,-79.30459599999999
35200432,78336,43.749654,-79.300843
35200433,67669,43.749763,-79.297784
35200434,78656,43.746406,-79.298573
35200435,69888,43.747112,-79.294538
35200436,35584,43.743574,-79.296436
35200437,75520,43.741243,-79.293699
35200438,75520,43.739984,-79.297741
35200439,75520,43.739092,-79.300777
35200440,74496,43.742232,-79.30325400000001
35200442,48192,43.742063,-79.30693000000001
35200443,46976,43.743264,-79.30782099999999
35200444,68352,43.745074,-79.303565
35200445,89856,43.744417999999996,-79.313242
35200449,74240,43.737311,-79.309717
35200450,90368,43.737866,-79.313367
35200451,91904,43.738246999999994,-79.31513000000001
35200452,86784,43.735170000000004,-79.32258399999999
35200453,107904,43.733062,-79.315322
35200454,52672,43.729374,-79.317366
35200455,97024,43.728316,-79.313046
35200456,45216,43.727129999999995,-79.315662
35200459,78592,43.731479,-79.30794200000001
35200460,39552,43.730699,-79.30439
35200463,37163,43.733327,-79.307946
35200464,59392,43.735347999999995,-79.30902900000001
35200465,68096,43.73604,-79.304472
35200466,85504,43.732221,-79.302102
35200467,76032,43.735759,-79.299701
35200468,83968,43.732162,-79.294774
35200469,49792,43.728379,-79.301371
35200470,37952,43.727267,-79.299711
35200471,52992,43.725539000000005,-79.304582
35200472,69449,43.723791,-79.30377
35200475,65280,43.721851,-79.298793
35200478,90752,43.714774,-79.302297
35200479,96512,43.712163000000004,-79.303533
