NAME,SCHOOL_BOARD,MUN,LATITUDE,LONGITUDE,SCHOOL_TYPE,2013 RATING,2014 RATING,2015 RATING,2016 RATING,2017 RATING,INCOME,INCOME_BINS
CHURCHILL HEIGHTS PUBLIC SCHOOL,EP,Scarborough,43.7729977223,-79.2243958398,ELEMENTARY,7.6,7.2,7.7,8.4,7.9,75776.0,3
CITY SCHOOL,EP,former Toronto,43.6357573919,-79.3971908313,SECONDARY,2.3,2.3,2.3,2.3,1.5,76672.0,3
CLAIRLEA PUBLIC SCHOOL,EP,Scarborough,43.7165985793,-79.2961898941,ELEMENTARY,6.7,6.6,6.5,6.1,6.3,88832.0,4
CLINTON STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.657646075,-79.414057574,ELEMENTARY,8.0,7.1,7.2,6.5,6.0,78080.0,3
CORNELL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.759392572,-79.218038218,ELEMENTARY,6.9,5.9,6.5,6.6,7.0,74240.0,3
CORVETTE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.72649371,-79.262162924,ELEMENTARY,4.6,4.3,4.4,4.3,4.0,28715.0,1
COTTINGHAM JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6803880219,-79.3956122531,ELEMENTARY,10.0,9.9,9.9,9.8,9.8,118272.0,5
CRESTVIEW PUBLIC SCHOOL,EP,North York,43.78843218,-79.359846604,ELEMENTARY,7.4,8.1,7.8,7.8,8.1,84672.0,4
DALLINGTON PUBLIC SCHOOL,EP,North York,43.7771367306,-79.3547585895,ELEMENTARY,8.3,8.3,8.0,7.3,7.9,99072.0,4
DANFORTH GARDENS PUBLIC SCHOOL,EP,Scarborough,43.7084641565,-79.2709805959,SECONDARY,4.1,4.0,3.9,4.5,4.8,73984.0,3
DANTE ALIGHIERI ACADEMY - BEATRICE CAMPUS,ES,North York,43.728972908,-79.441355451,SECONDARY,4.9,5.6,5.1,4.9,4.9,59840.0,2
D'ARCY MCGEE CATHOLIC ELEMENTARY SCHOOL,ES,York,43.6922642125,-79.4429148435,ELEMENTARY,2.8,3.1,3.0,3.0,3.6,59776.0,2
